loss,auc_5,val_loss,val_auc_5
0.6712988615036011,0.6021509170532227,0.6809844970703125,0.5903886556625366
0.6467781066894531,0.7189092636108398,0.6644478440284729,0.6621996760368347
0.6272414922714233,0.7820324897766113,0.6501847505569458,0.7043806314468384
0.6092954277992249,0.8176440000534058,0.6342430710792542,0.7374961972236633
0.5936333537101746,0.8371005058288574,0.6210274696350098,0.7588006258010864
0.5802566409111023,0.8476031422615051,0.6093358397483826,0.7719523906707764
0.5685057044029236,0.8548808097839355,0.5982201099395752,0.7813575267791748
0.5580958127975464,0.859856903553009,0.5889865159988403,0.7868009805679321
0.5492733120918274,0.8641021251678467,0.5809099078178406,0.790938138961792
0.5420085191726685,0.8674265146255493,0.5742989182472229,0.7932388782501221
0.5358390808105469,0.8702700734138489,0.5690718293190002,0.796100378036499
0.5306296944618225,0.8729695081710815,0.564864456653595,0.7975086569786072
0.5261343717575073,0.8752727508544922,0.5608696937561035,0.7997201681137085
0.5221123099327087,0.8777688145637512,0.5572978258132935,0.8006993532180786
0.5185829401016235,0.8795284032821655,0.5543554425239563,0.8023027777671814
0.5154508352279663,0.8814965486526489,0.5517953038215637,0.8035259246826172
0.512683093547821,0.8828123807907104,0.5495805144309998,0.8031098246574402
0.510230541229248,0.8841317296028137,0.547691822052002,0.8036898374557495
0.5080016851425171,0.8851245641708374,0.546125590801239,0.8038511276245117
0.505975067615509,0.8867635130882263,0.5445273518562317,0.8043212294578552
0.504079282283783,0.8878235816955566,0.5432375073432922,0.8051859140396118
0.502488374710083,0.8889542818069458,0.5420486927032471,0.8056689500808716
0.5009551644325256,0.8900710344314575,0.5410709381103516,0.8065973520278931
0.4995654821395874,0.8909904360771179,0.5402306318283081,0.8067476749420166
0.49830859899520874,0.8920823335647583,0.5396462678909302,0.8067094087600708
0.49715930223464966,0.8930559158325195,0.5389404296875,0.8058717846870422
0.4960814118385315,0.8940272331237793,0.5384905338287354,0.805499255657196
0.49506598711013794,0.8951457142829895,0.5380334258079529,0.8049355149269104
0.4941139221191406,0.8958898782730103,0.5377481579780579,0.8054301738739014
0.49323660135269165,0.8968288898468018,0.5373374819755554,0.8052604794502258
0.49240967631340027,0.8973641395568848,0.5370230674743652,0.8054367899894714
0.4916270673274994,0.8982886075973511,0.5368714332580566,0.8058990836143494
0.49089136719703674,0.8990092873573303,0.5366897583007812,0.8065589666366577
0.4901926517486572,0.8996428847312927,0.5364924669265747,0.8063113689422607
