loss,auc,val_loss,val_auc
0.689496636390686,0.5651984214782715,0.6864149570465088,0.668244481086731
0.6698265075683594,0.6897341012954712,0.6646643877029419,0.744901180267334
0.6492745876312256,0.7636116743087769,0.6443694233894348,0.7809951901435852
0.6279193162918091,0.8040822744369507,0.6257326602935791,0.7993285059928894
0.6079602241516113,0.8245590329170227,0.6076001524925232,0.8134585022926331
0.5910829305648804,0.8358338475227356,0.593955397605896,0.8203978538513184
0.5772727131843567,0.8431434631347656,0.5825506448745728,0.825833261013031
0.5658818483352661,0.8485985994338989,0.573310375213623,0.8302103281021118
0.5565656423568726,0.8524938821792603,0.5657339096069336,0.8329207897186279
0.5488245487213135,0.8559085726737976,0.5597883462905884,0.8350086212158203
