loss,auc-pr,val_loss,val_auc-pr
0.04660673066973686,0.0769096091389656,0.033431410789489746,0.08136056363582611
0.04436342418193817,0.09729410707950592,0.03329947963356972,0.09392045438289642
0.04402227699756622,0.10468575358390808,0.03333163633942604,0.09143804013729095
0.04339999705553055,0.12990641593933105,0.032835666090250015,0.11059027165174484
0.04271499067544937,0.14913520216941833,0.03273546323180199,0.13302861154079437
0.041817691177129745,0.18438634276390076,0.03225584700703621,0.1525270938873291
0.04138727858662605,0.19700224697589874,0.031953345984220505,0.16636326909065247
0.040760647505521774,0.21508386731147766,0.031612329185009,0.17808718979358673
0.04019365459680557,0.2389756739139557,0.031619343906641006,0.1882651448249817
0.03994006663560867,0.24028052389621735,0.0317683108150959,0.19194260239601135
0.03952914848923683,0.2571296989917755,0.031069418415427208,0.1986044943332672
0.03929189220070839,0.2643846869468689,0.031114380806684494,0.20632554590702057
0.0389704592525959,0.2774028778076172,0.030988013371825218,0.21535269916057587
0.03884676843881607,0.2876378893852234,0.0315108448266983,0.21764299273490906
0.03884975612163544,0.27898213267326355,0.030941475182771683,0.21982935070991516
0.038672953844070435,0.2878178656101227,0.03093307837843895,0.2227749228477478
0.0386173389852047,0.28773239254951477,0.03126102685928345,0.22475731372833252
0.03844531252980232,0.2916301190853119,0.03084905445575714,0.2196171134710312
0.038241103291511536,0.29978102445602417,0.03063368611037731,0.22446759045124054
0.038190215826034546,0.30254122614860535,0.030750509351491928,0.22732549905776978
0.03841912001371384,0.29524779319763184,0.030919523909687996,0.228271484375
0.03812553733587265,0.30333730578422546,0.03107944130897522,0.22709274291992188
0.037988293915987015,0.308066189289093,0.030709506943821907,0.225440114736557
0.037959180772304535,0.3090198338031769,0.03207670897245407,0.22582292556762695
0.038081418722867966,0.3057882785797119,0.031209204345941544,0.2272874265909195
0.03785397857427597,0.3172817826271057,0.03108077682554722,0.22592057287693024
0.0378742553293705,0.30959758162498474,0.03192560374736786,0.22491416335105896
0.037991881370544434,0.3103340268135071,0.03079405054450035,0.23338843882083893
0.03774282708764076,0.3156377673149109,0.031183071434497833,0.22494849562644958
