technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1069,1,1,1,1,1,0,1,0,1,1,1
T1069.001,0,0,0,0,1,0,0,0,0,1,1
T1069.002,0,0,0,0,1,0,0,0,0,1,1
T1069.003,1,0,1,1,0,0,1,0,1,0,0
T1070,0,1,1,0,1,1,1,0,0,1,1
T1070.001,0,0,0,0,0,0,0,0,0,1,0
T1070.002,0,0,0,0,1,0,0,0,0,0,1
T1070.003,0,0,0,0,1,1,0,0,0,1,1
T1070.004,0,0,0,0,1,0,0,0,0,1,1
T1070.005,0,0,0,0,0,0,0,0,0,1,0
T1070.006,0,0,0,0,1,0,0,0,0,1,1
T1070.007,0,0,0,0,1,1,0,0,0,1,1
T1070.008,0,0,1,0,1,0,1,0,0,1,1
T1070.009,0,0,0,0,1,0,0,0,0,1,1
T1071,0,0,0,0,1,0,0,0,0,1,1
T1071.001,0,0,0,0,1,0,0,0,0,1,1
T1071.002,0,0,0,0,1,0,0,0,0,1,1
T1071.003,0,0,0,0,1,0,0,0,0,1,1
T1071.004,0,0,0,0,1,0,0,0,0,1,1
T1072,0,0,0,0,1,0,0,0,0,1,1
T1074,0,0,0,1,1,0,0,0,0,1,1
T1074.001,0,0,0,0,1,0,0,0,0,1,1
T1074.002,0,0,0,1,1,0,0,0,0,1,1
T1078,1,1,1,1,1,1,1,0,1,1,1
T1078.001,1,1,1,1,1,0,1,0,1,1,1
T1078.002,0,0,0,0,1,0,0,0,0,1,1
T1078.003,0,1,0,0,1,0,0,0,0,1,1
T1078.004,1,0,1,1,0,0,1,0,1,0,0
T1080,0,0,0,0,1,0,1,0,1,1,1
T1082,0,0,0,1,1,1,0,0,0,1,1
T1083,0,0,0,0,1,1,0,0,0,1,1
T1087,1,0,1,1,1,0,1,0,1,1,1
T1087.001,0,0,0,0,1,0,0,0,0,1,1
T1087.002,0,0,0,0,1,0,0,0,0,1,1
T1087.003,0,0,1,0,0,0,1,0,0,1,0
T1087.004,1,0,1,1,0,0,1,0,1,0,0
T1090,0,0,0,0,1,1,0,0,0,1,1
T1090.001,0,0,0,0,1,0,0,0,0,1,1
