technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1584,0,0,0,0,0,0,0,1,0,0,0
T1584.001,0,0,0,0,0,0,0,1,0,0,0
T1584.002,0,0,0,0,0,0,0,1,0,0,0
T1584.003,0,0,0,0,0,0,0,1,0,0,0
T1584.004,0,0,0,0,0,0,0,1,0,0,0
T1584.005,0,0,0,0,0,0,0,1,0,0,0
T1584.006,0,0,0,0,0,0,0,1,0,0,0
T1584.007,0,0,0,0,0,0,0,1,0,0,0
T1585,0,0,0,0,0,0,0,1,0,0,0
T1585.001,0,0,0,0,0,0,0,1,0,0,0
T1585.002,0,0,0,0,0,0,0,1,0,0,0
T1585.003,0,0,0,0,0,0,0,1,0,0,0
T1586,0,0,0,0,0,0,0,1,0,0,0
T1586.001,0,0,0,0,0,0,0,1,0,0,0
T1586.002,0,0,0,0,0,0,0,1,0,0,0
T1586.003,0,0,0,0,0,0,0,1,0,0,0
T1587,0,0,0,0,0,0,0,1,0,0,0
T1587.001,0,0,0,0,0,0,0,1,0,0,0
T1587.002,0,0,0,0,0,0,0,1,0,0,0
T1587.003,0,0,0,0,0,0,0,1,0,0,0
T1587.004,0,0,0,0,0,0,0,1,0,0,0
T1588,0,0,0,0,0,0,0,1,0,0,0
T1588.001,0,0,0,0,0,0,0,1,0,0,0
T1588.002,0,0,0,0,0,0,0,1,0,0,0
T1588.003,0,0,0,0,0,0,0,1,0,0,0
T1588.004,0,0,0,0,0,0,0,1,0,0,0
T1588.005,0,0,0,0,0,0,0,1,0,0,0
T1588.006,0,0,0,0,0,0,0,1,0,0,0
T1589,0,0,0,0,0,0,0,1,0,0,0
T1589.001,0,0,0,0,0,0,0,1,0,0,0
T1589.002,0,0,0,0,0,0,0,1,0,0,0
T1589.003,0,0,0,0,0,0,0,1,0,0,0
T1590,0,0,0,0,0,0,0,1,0,0,0
T1590.001,0,0,0,0,0,0,0,1,0,0,0
T1590.002,0,0,0,0,0,0,0,1,0,0,0
T1590.003,0,0,0,0,0,0,0,1,0,0,0
T1590.004,0,0,0,0,0,0,0,1,0,0,0
T1590.005,0,0,0,0,0,0,0,1,0,0,0
T1590.006,0,0,0,0,0,0,0,1,0,0,0
T1591,0,0,0,0,0,0,0,1,0,0,0
T1591.001,0,0,0,0,0,0,0,1,0,0,0
T1591.002,0,0,0,0,0,0,0,1,0,0,0
T1591.003,0,0,0,0,0,0,0,1,0,0,0
T1591.004,0,0,0,0,0,0,0,1,0,0,0
T1592,0,0,0,0,0,0,0,1,0,0,0
T1592.001,0,0,0,0,0,0,0,1,0,0,0
T1592.002,0,0,0,0,0,0,0,1,0,0,0
T1592.003,0,0,0,0,0,0,0,1,0,0,0
T1592.004,0,0,0,0,0,0,0,1,0,0,0
T1593,0,0,0,0,0,0,0,1,0,0,0
T1593.001,0,0,0,0,0,0,0,1,0,0,0
T1593.002,0,0,0,0,0,0,0,1,0,0,0
T1593.003,0,0,0,0,0,0,0,1,0,0,0
T1594,0,0,0,0,0,0,0,1,0,0,0
T1595,0,0,0,0,0,0,0,1,0,0,0
T1595.001,0,0,0,0,0,0,0,1,0,0,0
T1595.002,0,0,0,0,0,0,0,1,0,0,0
T1595.003,0,0,0,0,0,0,0,1,0,0,0
T1596,0,0,0,0,0,0,0,1,0,0,0
T1596.001,0,0,0,0,0,0,0,1,0,0,0
T1596.002,0,0,0,0,0,0,0,1,0,0,0
T1596.003,0,0,0,0,0,0,0,1,0,0,0
T1596.004,0,0,0,0,0,0,0,1,0,0,0
T1596.005,0,0,0,0,0,0,0,1,0,0,0
T1597,0,0,0,0,0,0,0,1,0,0,0
T1597.001,0,0,0,0,0,0,0,1,0,0,0
T1597.002,0,0,0,0,0,0,0,1,0,0,0
T1598,0,0,0,0,0,0,0,1,0,0,0
T1598.001,0,0,0,0,0,0,0,1,0,0,0
T1598.002,0,0,0,0,0,0,0,1,0,0,0
T1598.003,0,0,0,0,0,0,0,1,0,0,0
T1599,0,0,0,0,0,1,0,0,0,0,0
T1599.001,0,0,0,0,0,1,0,0,0,0,0
T1600,0,0,0,0,0,1,0,0,0,0,0
T1600.001,0,0,0,0,0,1,0,0,0,0,0
T1600.002,0,0,0,0,0,1,0,0,0,0,0
T1601,0,0,0,0,0,1,0,0,0,0,0
T1601.001,0,0,0,0,0,1,0,0,0,0,0
T1601.002,0,0,0,0,0,1,0,0,0,0,0
T1602,0,0,0,0,0,1,0,0,0,0,0
T1602.001,0,0,0,0,0,1,0,0,0,0,0
T1602.002,0,0,0,0,0,1,0,0,0,0,0
T1606,1,0,1,1,1,0,1,0,1,1,1
T1606.001,0,0,0,1,1,0,0,0,1,1,1
T1606.002,1,0,1,1,0,0,1,0,1,1,0
T1608,0,0,0,0,0,0,0,1,0,0,0
T1608.001,0,0,0,0,0,0,0,1,0,0,0
T1608.002,0,0,0,0,0,0,0,1,0,0,0
T1608.003,0,0,0,0,0,0,0,1,0,0,0
T1608.004,0,0,0,0,0,0,0,1,0,0,0
T1608.005,0,0,0,0,0,0,0,1,0,0,0
T1608.006,0,0,0,0,0,0,0,1,0,0,0
T1609,0,1,0,0,0,0,0,0,0,0,0
T1610,0,1,0,0,0,0,0,0,0,0,0
T1611,0,1,0,0,1,0,0,0,0,1,0
T1612,0,1,0,0,0,0,0,0,0,0,0
T1613,0,1,0,0,0,0,0,0,0,0,0
T1614,0,0,0,1,1,0,0,0,0,1,1
T1614.001,0,0,0,0,1,0,0,0,0,1,1
T1615,0,0,0,0,0,0,0,0,0,1,0
T1619,0,0,0,1,0,0,0,0,0,0,0
T1620,0,0,0,0,1,0,0,0,0,1,1
T1621,1,0,1,1,1,0,1,0,1,1,1
T1622,0,0,0,0,1,0,0,0,0,1,1
T1647,0,0,0,0,0,0,0,0,0,0,1
T1648,0,0,0,1,0,0,1,0,1,0,0
T1649,1,0,0,0,1,0,0,0,0,1,1
T1650,0,0,0,0,0,0,0,1,0,0,0
T1651,1,0,0,1,0,0,0,0,0,0,0
T1652,0,0,0,0,1,0,0,0,0,1,1
