,software_ID
0,0.0011876484560570072
1,0.0011876484560570072
2,0.0011876484560570072
3,0.0011876484560570072
4,0.0011876484560570072
5,0.0011876484560570072
6,0.048693586698337295
7,0.032066508313539195
8,0.0011876484560570072
9,0.015439429928741092
10,0.0344418052256532
11,0.0011876484560570072
12,0.010688836104513063
13,0.0011876484560570072
14,0.0059382422802850355
15,0.014251781472684086
16,0.007125890736342043
17,0.0011876484560570072
18,0.0023752969121140144
19,0.0011876484560570072
20,0.0011876484560570072
21,0.0011876484560570072
22,0.0035629453681710215
23,0.0023752969121140144
24,0.0011876484560570072
25,0.0059382422802850355
26,0.010688836104513063
27,0.0011876484560570072
28,0.02494061757719715
29,0.0166270783847981
30,0.0011876484560570072
31,0.0011876484560570072
32,0.0011876484560570072
33,0.0011876484560570072
34,0.0011876484560570072
35,0.0011876484560570072
36,0.0011876484560570072
37,0.0011876484560570072
38,0.0011876484560570072
39,0.0011876484560570072
40,0.0011876484560570072
41,0.004750593824228029
42,0.0011876484560570072
43,0.0011876484560570072
44,0.048693586698337295
45,0.032066508313539195
46,0.0011876484560570072
47,0.0023752969121140144
48,0.0035629453681710215
49,0.0011876484560570072
50,0.0011876484560570072
51,0.0035629453681710215
52,0.0011876484560570072
53,0.0011876484560570072
54,0.0011876484560570072
55,0.010688836104513063
56,0.0011876484560570072
57,0.007125890736342043
58,0.004750593824228029
59,0.0011876484560570072
60,0.0011876484560570072
61,0.02494061757719715
62,0.0011876484560570072
63,0.0011876484560570072
64,0.0011876484560570072
65,0.0011876484560570072
66,0.0011876484560570072
67,0.0011876484560570072
68,0.0011876484560570072
69,0.0011876484560570072
70,0.0011876484560570072
71,0.0011876484560570072
72,0.048693586698337295
73,0.0011876484560570072
74,0.0011876484560570072
75,0.032066508313539195
76,0.0011876484560570072
77,0.0011876484560570072
78,0.0011876484560570072
79,0.0011876484560570072
80,0.0011876484560570072
81,0.0344418052256532
82,0.0011876484560570072
83,0.0011876484560570072
84,0.0011876484560570072
85,0.004750593824228029
86,0.0011876484560570072
87,0.0011876484560570072
88,0.0011876484560570072
89,0.0011876484560570072
90,0.0011876484560570072
91,0.0011876484560570072
92,0.010688836104513063
93,0.0011876484560570072
94,0.010688836104513063
95,0.0035629453681710215
96,0.0011876484560570072
97,0.0011876484560570072
98,0.0011876484560570072
99,0.0011876484560570072
100,0.014251781472684086
101,0.0011876484560570072
102,0.010688836104513063
103,0.0011876484560570072
104,0.014251781472684086
105,0.0011876484560570072
106,0.0011876484560570072
107,0.0035629453681710215
108,0.0011876484560570072
109,0.0011876484560570072
110,0.0011876484560570072
111,0.0011876484560570072
112,0.0011876484560570072
113,0.0035629453681710215
114,0.02494061757719715
115,0.0011876484560570072
116,0.0011876484560570072
117,0.0011876484560570072
118,0.0011876484560570072
119,0.048693586698337295
120,0.032066508313539195
121,0.0011876484560570072
122,0.0011876484560570072
123,0.0011876484560570072
124,0.0011876484560570072
125,0.014251781472684086
126,0.007125890736342043
127,0.0023752969121140144
128,0.0166270783847981
129,0.010688836104513063
130,0.048693586698337295
131,0.0035629453681710215
132,0.004750593824228029
133,0.032066508313539195
134,0.0011876484560570072
135,0.0023752969121140144
136,0.010688836104513063
137,0.0023752969121140144
138,0.0011876484560570072
139,0.0011876484560570072
140,0.0011876484560570072
141,0.0059382422802850355
142,0.0011876484560570072
143,0.0011876484560570072
144,0.02494061757719715
145,0.0011876484560570072
146,0.0011876484560570072
147,0.0011876484560570072
148,0.0011876484560570072
149,0.0011876484560570072
150,0.0011876484560570072
151,0.0011876484560570072
152,0.0011876484560570072
153,0.0011876484560570072
154,0.0011876484560570072
155,0.0035629453681710215
156,0.0023752969121140144
157,0.0023752969121140144
158,0.0023752969121140144
159,0.048693586698337295
160,0.032066508313539195
161,0.004750593824228029
162,0.0011876484560570072
